Date,Total_Revenue,Total_Orders,Avg_Freight_Ratio,Daily_AOV,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7d,DayOfWeek,Is_Weekend,DayOfMonth,Month
2017-07-20,19174.08,141,0.33057505386277597,135.9863829787234,16545.34,14531.0,17709.547142857144,3,0,20,7
2017-07-21,13448.85,114,0.3002803051445594,117.97236842105264,19174.08,18745.15,18372.844285714287,4,0,21,7
2017-07-22,11456.81,88,0.3561469577521019,130.19102272727272,13448.85,10930.56,17616.230000000003,5,1,22,7
2017-07-23,12117.61,104,0.28334505159884427,116.51548076923078,11456.81,13421.6,17691.408571428572,6,1,23,7
2017-07-24,19662.62,161,0.2921845830082128,122.12807453416148,12117.61,21554.98,17505.124285714286,0,0,24,7
2017-07-25,17482.53,151,0.31961076514019315,115.77834437086092,19662.62,28238.2,17234.787142857145,1,0,25,7
2017-07-26,11265.23,123,0.4175518318883292,91.58723577235772,17482.53,16545.34,15698.262857142856,2,0,26,7
2017-07-27,15693.93,123,0.33754117315071325,127.5929268292683,11265.23,19174.08,14943.961428571429,3,0,27,7
2017-07-28,20043.16,132,0.29712997005799147,151.8421212121212,15693.93,13448.85,14446.797142857144,4,0,28,7
2017-07-29,15964.27,115,0.2562971623764017,138.81973913043478,20043.16,11456.81,15388.841428571426,5,1,29,7
2017-07-30,12944.87,117,0.3283606858710419,110.63991452991453,15964.27,12117.61,16032.764285714284,6,1,30,7
2017-07-31,17272.88,147,0.33269862560901825,117.5025850340136,12944.87,19662.62,16150.944285714286,0,0,31,7
2017-08-01,21745.04,165,0.31689126450188215,131.7881212121212,17272.88,17482.53,15809.552857142857,1,0,1,8
2017-08-02,18147.0,155,0.3148391320642265,117.07741935483871,21745.04,11265.23,16418.48285714286,2,0,2,8
2017-08-03,19125.51,146,0.29454143288204093,130.99664383561642,18147.0,15693.93,17401.59285714286,3,0,3,8
2017-08-04,18361.62,141,0.30597629461146914,130.22425531914894,19125.51,20043.16,17891.818571428572,4,0,4,8
2017-08-05,11946.91,115,0.3240415410906985,103.88617391304348,18361.62,15964.27,17651.59857142857,5,1,5,8
2017-08-06,14181.14,108,0.3747587824056554,131.30685185185186,11946.91,12944.87,17077.69,6,1,6,8
2017-08-07,23257.84,157,0.27584515919622205,148.1391082802548,14181.14,17272.88,17254.3,0,0,7,8
2017-08-08,18661.63,146,0.28785261130187095,127.81938356164385,23257.84,21745.04,18109.294285714284,1,0,8,8
2017-08-09,20756.52,142,0.30601401676519946,146.17267605633802,18661.63,18147.0,17668.807142857142,2,0,9,8
2017-08-10,19961.55,155,0.29548197944587473,128.7841935483871,20756.52,19125.51,18041.595714285715,3,0,10,8
2017-08-11,20039.24,138,0.3486897178356694,145.21188405797102,19961.55,18361.62,18161.030000000002,4,0,11,8
2017-08-12,13980.86,97,0.2911540923961437,144.13257731958763,20039.24,11946.91,18400.69,5,1,12,8
2017-08-13,12334.19,92,0.36044277061366403,134.06728260869565,13980.86,14181.14,18691.254285714287,6,1,13,8
2017-08-14,18156.37,156,0.2922519807152895,116.38698717948718,12334.19,23257.84,18427.404285714285,0,0,14,8
2017-08-15,23727.260000000002,193,0.29754909164609783,122.93917098445597,18156.37,18661.63,17698.622857142855,1,0,15,8
2017-08-16,23950.42,173,0.34356823583292345,138.44173410404622,23727.260000000002,20756.52,18422.284285714286,2,0,16,8
2017-08-17,18357.91,155,0.29017778044643927,118.43812903225806,23950.42,19961.55,18878.555714285718,3,0,17,8
2017-08-18,17132.01,146,0.29573740199434617,117.34253424657533,18357.91,20039.24,18649.464285714286,4,0,18,8
2017-08-19,12910.13,108,0.37836759973827305,119.53824074074073,17132.01,13980.86,18234.145714285714,5,1,19,8
2017-08-20,12873.78,103,0.3642305888249898,124.98815533980583,12910.13,12334.19,18081.184285714287,6,1,20,8
2017-08-21,22219.35,177,0.3353455938826154,125.53305084745762,12873.78,18156.37,18158.268571428573,0,0,21,8
2017-08-22,16627.12,136,0.359329452406131,122.25823529411764,22219.35,23727.260000000002,18738.69428571429,1,0,22,8
2017-08-23,15873.61,111,0.2586952503761691,143.0054954954955,16627.12,23950.42,17724.38857142857,2,0,23,8
2017-08-24,13361.11,126,0.30780039952971333,106.04055555555556,15873.61,18357.91,16570.558571428573,3,0,24,8
2017-08-25,15163.32,123,0.28976765274265226,123.2790243902439,13361.11,17132.01,15856.729999999998,4,0,25,8
2017-08-26,10141.69,93,0.3317171658200744,109.05043010752689,15163.32,12910.13,15575.488571428572,5,1,26,8
2017-08-27,13367.88,118,0.38690496386387946,113.28711864406779,10141.69,12873.78,15179.997142857143,6,1,27,8
2017-08-28,22244.52,155,0.3039407106444996,143.51303225806453,13367.88,22219.35,15250.582857142856,0,0,28,8
2017-08-29,33756.48,137,0.2913948548584885,246.39766423357668,22244.52,16627.12,15254.17857142857,1,0,29,8
